name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Streptococcus sobrinus	1310	species	12977382	4	2	0.0
Streptococcus agalactiae	1311	species	298746102	50	15	0.0
Streptococcus pneumoniae	1313	species	433081149	55	16	0.0
Streptococcus pyogenes	1314	species	570318902	63	16	0.0
Streptococcus parasanguinis	1318	species	4265262	13	5	0.0
Streptococcus sp. 'group B'	1319	species	2178261	5	0	0.0
Streptococcus acidominimus	1326	species	2330811	4	2	0.0
Streptococcus anginosus	1328	species	32509979	52	7	0.0
Streptococcus canis	1329	species	12968744	14	5	0.0
Streptococcus dysgalactiae	1334	species	29227574	25	6	0.0
Streptococcus equinus	1335	species	15247373	22	5	0.0
Streptococcus equi	1336	species	0	11	9	0.0
Streptococcus intermedius	1338	species	9731493	14	2	0.0
Streptococcus porcinus	1340	species	8097616	22	5	0.0
Streptococcus ratti	1341	species	2096943	3	3	0.0
Streptococcus vestibularis	1343	species	1950305	2	0	0.0
Streptococcus ferus	1345	species	1872314	4	1	0.0
Streptococcus iniae	1346	species	31702178	10	2	0.0
Streptococcus parauberis	1348	species	33140984	38	6	0.0
Streptococcus uberis	1349	species	5863708	5	2	0.0
Enterococcus	1350	genus	0	5	2	0.0
Enterococcus faecalis	1351	species	771581953	2199	1760	0.0
Enterococcus faecium	1352	species	968238328	131	22	0.0
Enterococcus gallinarum	1353	species	27118586	28	4	0.0
Enterococcus hirae	1354	species	74398490	60	18	0.0
Lactococcus	1357	genus	0	59	3	0.0
Lactococcus lactis	1358	species	96449071	924	57	0.0
Lactococcus cremoris	1359	species	85517410	72	16	0.0
Lactococcus lactis subsp. lactis	1360	subspecies	98830156	55	9	0.0
Lactococcus garvieae	1363	species	41605535	57	14	0.0
Lactococcus raffinolactis	1366	species	16736083	14	8	0.0
Planococcus kocurii	1374	species	3485580	8	5	0.0
Aerococcus urinae	1376	species	5928811	5	0	0.0
Aerococcus viridans	1377	species	4404829	6	0	0.0
Gemella haemolysans	1379	species	3854467	17	8	0.0
Bacillales	1385	order	0	1294	0	0.0
Bacillus	1386	genus	0	117	67	0.0
Bacillus amyloliquefaciens	1390	species	316271672	50	7	0.0
Bacillus anthracis	1392	species	601965980	83	11	0.0
Brevibacillus brevis	1393	species	38398974	21	13	0.0
[Bacillus] caldolyticus	1394	species	3485582	2	0	0.0
Bacillus cereus	1396	species	661743701	900	61	0.0
Niallia circulans	1397	species	26163934	75	18	0.0
Heyndrickxia coagulans	1398	species	59534587	28	1	0.0
Cytobacillus firmus	1399	species	35208220	53	12	0.0
Paenibacillus lautus	1401	species	7354571	2	2	0.0
Bacillus licheniformis	1402	species	182238651	16	8	0.0
Priestia megaterium	1404	species	242308575	197	66	0.0
Bacillus mycoides	1405	species	304466702	282	57	0.0
Paenibacillus polymyxa	1406	species	186199745	98	30	0.0
Peribacillus psychrosaccharolyticus	1407	species	4681292	8	4	0.0
Bacillus pumilus	1408	species	109477133	58	18	0.0
Lysinibacillus sphaericus	1421	species	23562491	287	7	0.0
Bacillus subtilis	1423	species	1072441043	94	12	0.0
Parageobacillus thermoglucosidasius	1426	species	19798471	19	1	0.0
Bacillus thuringiensis	1428	species	338798229	262	56	0.0
Bacillus thuringiensis serovar israelensis	1430	leaf	11800708	3	0	0.0
Bacillus thuringiensis serovar alesti	1440	leaf	5818118	2	1	0.0
